Number,Name,a,e,i,H,H_std,D,D_std,P,P_std,P (LCDB),l1,b1,l2,b2,l3,b3,l4,b4,Mag(min),Mag(max),u,u_sigma,g,g_sigma,r,r_sigma,i,i_sigma,z,z_sigma,dadt (papers),dadt_std (papers),snr_papers,dadt (JPL),dadt_sigma (JPL),snr_jpl
66400,1999LT7,0.855250908,0.572553922,9.065620769,19.1,nan,0.411,0.076,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.003825,0.00053,7.22,-0.001659,0.00031,5.35
NaN,2012UK171,0.859751202,0.221678698,1.318816481,24.44,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.002312,0.000324,7.14
499998,2011PT,1.31235352,0.214719064,2.212869727,23.9,nan,nan,nan,0.17,0.05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.00913,0.001444,6.32,-0.008239,0.00117,7.04
10302,1989ML,1.272206355,0.136402908,4.378247099,19.4,nan,nan,nan,19.164,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002876,0.000502,5.73,0.001748,0.000249,7.03
467351,2003KO2,0.72738076,0.510953448,23.50037426,20.5,nan,nan,nan,6.48,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.19,1.28,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.006559000000000001,0.001905,3.44,0.002088,0.000304,6.87
350523,2000EA14,1.116989861,0.202555028,3.555331418,21.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002405,0.00073,3.29,0.002764,0.000405,6.82
455176,1999VF22,1.312545949,0.738643584,3.908683548,20.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.003768,0.0007,5.38,-0.004293,0.00063,6.82
,2000CK59,1.479071438,0.312603008,5.689662886,24.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.007448000000000001,0.001462,5.09,-0.007415,0.001094,6.78
422686,2000AC6,0.853657055,0.286428222,4.699622151,21.49,nan,0.17600000000000002,0.005,2.444,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002071,0.000307,6.74
424392,2007YJ,1.103875473,0.280004873,3.305342599,22.13,nan,0.239,0.077,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.00718,0.001086,6.61
283457,2001MQ3,2.232131219,0.45627698,5.587193923,19.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0013800000000000002,0.000493,2.8,-0.001982,0.0003,6.61
NaN,2009EM1,2.51997265,0.558914988,18.118853705,22.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.012316,0.001876,6.57
416151,2002RQ25,1.111672405,0.306357543,4.576223691,20.7,nan,nan,nan,12.191,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002449,0.000962,2.55,0.002652,0.000409,6.49
152671,1998HL3,1.128844343,0.36596219,2.679578674,20.1,nan,0.298,0.007,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.003192,0.00093,3.43,-0.002365,0.000366,6.46
595116,2001QE96,1.310787596,0.02803888,7.266788123,22.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.005163,0.000801,6.45
NaN,2018HG2,1.195074297,0.329563451,14.288527503,24.26,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.018686,0.002905,6.43
348306,2005AY28,0.872363127,0.570166581,5.882331842,21.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.006139,0.001558,3.94,-0.004516,0.00071,6.36
NaN,2012HL31,0.887650352,0.374055265,19.806139923,22.39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.006569,0.001033,6.36
216985,2000QK130,1.180595821,0.261810087,4.722223299,21.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.004461,0.00078,5.72,0.004276,0.000673,6.35
326354,2000SJ344,1.139910843,0.174510362,5.767003475,22.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.006515000000000001,0.001549,4.21,-0.006386,0.001005,6.35
163023,2001XU1,0.797352436,0.546266699,27.15698274,19.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.003425,0.0008900000000000001,3.85,0.003324,0.000527,6.31
138404,2000HA24,1.138952829,0.318673,2.164961306,19.1,nan,nan,nan,3.908,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.19,0.37,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001995,0.000317,6.29,nan,nan,nan
NaN,2018GY,0.765840278,0.407067047,8.736671956,24.83,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.022973,0.003677,6.25
506590,2005XB1,1.130933313,0.418805011,8.70873619,22.0,nan,0.099,0.012,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.004488000000000001,0.000849,5.29,0.00541,0.000867,6.24
3908,Nyx,1.927872799,0.458993586,2.185572808,17.3,nan,1.0,0.15,4.426,nan,nan,292.0,71.0,290.0,68.0,nan,nan,nan,nan,0.25,0.46,22.78,0.34,20.98,0.04,20.37,0.03,20.12,0.04,20.77,0.45,0.000986,0.00016299999999999998,6.05,0.000473,8.7e-05,5.46
216523,2001HY7,0.913852028,0.412094837,5.208499317,20.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.003133,0.000601,5.21,0.002529,0.000421,6.01
NaN,2015XC352,1.01512668,0.145723478,4.484055363,25.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.033239,0.005555,5.98
4581,Asclepius,1.022636912,0.357052277,4.917322687,20.7,nan,nan,nan,8.008,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.27,0.37,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.001962,0.000566,3.47,-0.001722,0.000288,5.97
,1999UQ,1.094269848,0.016045805,24.8128605,21.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.004485,0.000762,5.89,-0.004964,0.001422,3.49
154590,2003MA3,1.10534704,0.402204789,1.412937838,21.7,nan,0.086,0.002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.003711,0.0006320000000000001,5.87,-0.003601,0.000752,4.79
164207,2004GU9,1.001377997,0.136034177,13.65043548,21.1,nan,0.163,0.008,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0030239999999999998,0.001074,2.82,-0.002705,0.000461,5.86
NaN,2005VL1,0.891220201,0.224654726,0.236237757,26.45,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.010137,0.001733,5.85
388188,2006DP14,1.364942023,0.776271724,11.779636997,19.03,nan,nan,nan,5.77,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9,1.05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.003541,0.000607,5.83
162117,1998SD15,0.932581348,0.34483634,26.79716313,19.0,nan,nan,nan,7.33,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0009289999999999999,0.00016,5.81,-0.000865,0.000201,4.3
29075,1950DA,1.698568963,0.507826546,12.1674955,17.1,nan,2.0,0.2,2.122,nan,nan,88.6,77.7,187.4,-89.5,nan,nan,nan,nan,0.16,0.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000265,5.5e-05,4.82,-0.000311,5.4e-05,5.79
NaN,1998KY26,1.232835405,0.20185946,1.481011105,25.6,nan,0.03,nan,0.178,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.12,0.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.009809,0.001694,5.79
,2005EY169,1.308067524,0.233098655,20.89051625,22.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.005379999999999999,0.00093,5.78,-0.004578,0.001133,4.04
494710,2005MO13,0.863433019,0.410723015,6.316177434,20.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.003106,0.0007099999999999999,4.37,-0.003523,0.000611,5.76
2101,Adonis,1.874841298,0.763996941,1.32247218,18.8,nan,0.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.002543,0.00107,2.38,-0.002435,0.000424,5.75
410777,2009FD,1.163844623,0.493030735,3.127749306,22.1,nan,0.472,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.24,0.46,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0038179999999999998,0.00151,2.53,0.004361,0.00076,5.74
138852,2000WN10,1.001184416,0.298294172,21.50664114,20.2,nan,nan,nan,4.462,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.38,0.44,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00168,0.000364,4.62,0.001747,0.000307,5.69
4034,Vishnu,1.059782692,0.444128155,11.17029425,18.4,nan,0.42,nan,44.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.003403,0.000795,4.28,-0.002034,0.000359,5.67
NaN,2015KJ19,2.079814974,0.745591478,2.546824926,22.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.017218,0.003068,5.61
477719,2010SG15,2.079503636,0.476289969,0.827539383,25.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.009056999999999999,0.002843,3.19,-0.006701,0.001226,5.46
310442,2000CH59,0.86298001,0.423289416,3.258383994,19.9,nan,nan,nan,6.054,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002904,0.000682,4.26,0.002233,0.000412,5.42
NaN,1999SH10,1.097906845,0.130494936,9.58977328,22.75,nan,nan,nan,0.126,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.002831,0.000526,5.38
8014,1990MF,1.747366086,0.456172344,1.86695281,18.89,nan,0.7,nan,50.09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000938,0.000177,5.29
NaN,2010FX9,1.13120478,0.366850667,3.78170271,24.06,nan,0.03,0.002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.011806,0.002241,5.27
162361,2000AF6,0.877759951,0.411347144,2.695305247,20.2,nan,nan,nan,3.456,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002189,0.00042,5.21,0.002023,0.000431,4.69
NaN,2015LA2,0.883098714,0.280708431,7.72042175,23.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.005883,0.001132,5.2
363505,2003UC20,0.781215644,0.33685236,3.804202883,18.4,nan,1.876,0.037,29.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000405,7.8e-05,5.19,-0.000353,7.4e-05,4.78
1685,Toro,1.367586472,0.43583711,9.383132279,14.3,nan,3.4,nan,10.2,nan,nan,85.0,-67.0,nan,nan,nan,nan,nan,nan,0.47,1.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000168,3.8e-05,4.42,-0.000149,2.9e-05,5.18
99907,1989VA,0.728366431,0.594710787,28.79845982,17.9,nan,1.4,nan,2.525,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.22,0.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001271,0.000246,5.17,0.001071,0.000212,5.05
377097,2002WQ4,1.959598915,0.555170046,3.940748953,19.6,nan,nan,nan,36.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.001037,0.000202,5.13,-0.001022,0.000265,3.86
337248,2000RH60,0.825885634,0.551304825,19.64692567,20.1,nan,0.846,0.078,25.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.001745,0.00081,2.15,-0.002373,0.000465,5.11
NaN,2003FY6,0.729816733,0.582109903,6.600174019,22.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.005066,0.001004,5.04
NaN,2008WT62,0.884302653,0.353794375,18.198119423,23.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.015818,0.003142,5.04
NaN,2013BA74,1.754470144,0.444906113,5.22372922,25.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.061906,0.012419,4.98
NaN,2002GD10,1.216800832,0.130588574,19.241549465,22.71,nan,nan,nan,0.736,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.00992,0.002004,4.95
523828,1992BC,1.421479545,0.352436744,14.345388238,19.97,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.002991,0.000606,4.94
412983,1996FO3,1.442560546,0.290478427,5.816007822,20.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.003154,0.000641,4.92
85774,1998UT18,1.402899507,0.32911839,13.58886607,19.1,nan,0.939,0.007,55.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.83,0.86,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000267,6.2e-05,4.31,-0.000272,5.6e-05,4.91
455184,2000ED14,0.83498733,0.566655017,13.77819027,20.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0029289999999999997,0.00195,1.5,0.004233,0.000869,4.87
413260,2003TL4,0.77668951,0.381407797,12.18692073,19.4,nan,nan,nan,27.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.002036,0.000576,3.53,-0.00198,0.000409,4.84
NaN,2003GQ22,0.871941875,0.181981243,17.020902815,21.48,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.004526,0.000941,4.81
267759,2003MC7,1.373771248,0.184322178,21.21162744,18.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.001097,0.00035099999999999997,3.13,-0.001096,0.000232,4.73
4688,1980WF,2.23264832,0.517413852,6.373201208,19.4,nan,0.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0007,0.00055,1.27,-0.001466,0.000311,4.71
523801,1993TQ2,1.985616249,0.418897827,6.038623448,20.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001471,0.000316,4.66
452807,2006KV89,1.149806129,0.272818062,3.55401582,21.38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.003793,0.000821,4.62
192559,1998VO,1.074566921,0.226526366,10.0610921,20.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.001425,0.00037999999999999997,3.75,-0.001396,0.000302,4.62
478784,2012UV136,1.007431892,0.139688524,2.10423737,25.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.003264,0.000711,4.59
437841,1998HD14,0.96301693,0.312563886,7.810313593,21.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.003382,0.0009400000000000001,3.6,-0.002298,0.000501,4.59
NaN,2012UU136,1.160122222,0.211834849,35.590471361,21.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.006584,0.001441,4.57
474158,1999FA,1.078248321,0.132787949,12.02841629,20.7,nan,nan,nan,10.092,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.004123,0.0009199999999999999,4.48,-0.003181,0.001107,2.87
NaN,2007RY19,1.107321959,0.253434793,12.63200519,22.64,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.005521,0.001232,4.48
7336,Saunders,2.304880274,0.481705072,7.197246574,18.8,nan,nan,nan,4.307,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.14,0.31,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001429,0.00032,4.47,nan,nan,nan
306383,1993VD,0.875815048,0.551488723,2.06764285,21.5,nan,nan,nan,0.943,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.002218,0.0005,4.44,-0.001117,0.000352,3.17
376879,2001WW1,1.210251628,0.121778268,21.74072514,22.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0027370000000000003,0.00105,2.61,-0.002465,0.000557,4.43
NaN,2002EW8,1.846973344,0.460212794,11.377754019,23.84,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.006398,0.001456,4.4
413577,2005UL5,0.936332682,0.569849607,14.317578799,20.2,nan,nan,nan,3.459,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.27,0.35,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.004438,0.001018,4.36
68950,2002QF15,1.057087495,0.34432862,25.15222553,16.4,nan,1.65,0.555,45.24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000618,0.0005,1.24,-0.000299,6.9e-05,4.36
